原文	訂正	個別評価	評価
まだ、漢字が一番難しいです。	漢字が一番難しいです。	"2,4,4"	3.3333333333333335
ぼくはたべものがおすしすきです。	ぼくはたべものがすきです。	"1,2,1"	1.3333333333333333
近所公園で、鳥たちの歌が聞いたいって。	近所公園で、鳥たちの歌が聞きたいって。	"4,4,4"	4.0
先学期日本語を勉強することにしたことも、ほかにいろんなことを挑戦してみたことも、とても大事で楽しいことでした。	先学期日本語を勉強することにしたことも、ほかにいろんなことを挑戦してみたことも、とても大事で楽しいことでした。	"4,4,4"	4.0
また足りない。	まだ足りない。	"1,4,4"	3.0
日本語は僕に手伝ってくれたら、あなたに英語を教えてみます。	日本語を僕を手伝ってくれたら、あなたに英語を教えてくれます。	"1,2,4"	2.3333333333333335
また足りない。	また足りない。	"4,4,4"	4.0
先生は文法をはっきりお説明なさいましだけど、何か疑問があるの。	先生は文法をはっきり説明しなさいましだけど、何か疑問があるの。	"2,2,1"	1.6666666666666667
日本のせいかつはたのしいですが、いそがしいです。	日本のせいかつはたのしいですが、いそがしいです。	"4,4,4"	4.0
今回もう作ると三回目です。	今回もう一度作ると三回目です。	"4,4,4"	4.0
二月二十六日まで、電話をかかりはじめた。	二月二十六日まで、電話がかかってきた。	"2,4,4"	3.3333333333333335
当分に、だいたい禁じるドラッグの種が多いのに、あるドラッグの専門家によると、あるドラッグより、酒の方が危ないと言う。	当分に、だいたい禁止ドラッグの種が多いのに、あるドラッグの専門家によると、あるドラッグより、酒の方が危ないと言う。	"4,3,3"	3.3333333333333335
始めの日記	初めての日記	"3,3,4"	3.3333333333333335
その飼い主は犬を見捨てたとき、悲しくなかったか。	その飼い主は犬を見捨てたとき、悲しくなかった。	"1,2,4"	2.3333333333333335
オーストラリアに社会人学生は参入する際の障壁がないけど、日本にこれはおかしそうです。	オーストラリアの社会人学生は参入する際の壁がないけど、日本ではこれはおかしそうです。	"4,2,3"	3.0
やっぱり、台湾と韓国のドラマを比べると、日ドラマの方がいいと思います。	やっぱり、台湾と韓国のドラマを比べると、日ドラマの方がいいと思います。	"4,4,4"	4.0
根拠から解決できないだもん！	根拠から解決できないんだもん！	"4,4,4"	4.0
その中に中国語授業の先生の講評がある。	その中に中国語授業の先生の好きな人がいる。	"1,1,1"	1.0
入学のとき、誰にも知らない、学校のことはすべて新しいものだった。	入学のとき、誰にも知らない、学校はすべて新しいものだった。	"2,2,3"	2.3333333333333335
私は弟に結婚のお金をもらってあげました。	私は弟に結婚式のお金をもらってあげました。	"1,4,4"	3.0
でも、お金のことを考えればコースの学費はちょっと高いです。	でも、お金のことを考えればコースの学費はちょっと高いです。	"4,4,4"	4.0
2011年の2月もあっという間に半分が過ぎました。	2011年の2月もあっという間に半分が過ぎました。	"4,4,4"	4.0
私の本科は日本語ではありませんから、	私の本科は日本語ではありませんから、	"2,3,3"	2.6666666666666665
彼氏はいつも彼と日本語で練習したいですが、私は何でも話せません＞＜	彼氏はいつも彼と日本語で練習したいのですが、私は何も話せません＞＜	"3,3,3"	3.0
温度が下がって涼しくなりました。	気温が下がって涼しくなりました。	"4,3,4"	3.6666666666666665
今回もう作ると三回目です。	今回でもう作ると三回目です。	"3,4,3"	3.3333333333333335
どうして急にそう思ったのかと聞かれたら、まあ、なんとなくね・・・。	どうして急にそう思ったのかと聞かれたら、まあ、なんとなくね・・・。	"4,4,3"	3.6666666666666665
しかし運転するが難しいです。	しかし運転するのは難しいです。	"4,4,4"	4.0
高校の時、教育をよくなく発展している国に行って中国語か英語を教える思いがさえあった。	高校の時、教育がよくなく発展している国に行って中国語か英語を教える思いさえあった。	"4,4,4"	4.0
それから会社が人を雇えないと谷口さんもレイさんが思われました。	それから会社が人を雇えないと谷口さんもレイさんが思われました。	"2,3,3"	2.6666666666666665
昨日仕事を遅刻終わりますので、私は行きませんでした。	昨日仕事が遅れ終わりますので、私は行きませんでした。	"2,2,2"	2.0
交換留学生として佐賀に一年間滞在していた友達のところに行ってきた。	交換留学生として佐賀に一年間滞在していた友達のところに行ってきました。	"3,4,4"	3.6666666666666665
早朝は超寒くても、９時に暖めはじまる。	早朝は超寒くても、９時に暖かい。	"2,3,3"	2.6666666666666665
わたしの聞く能力が下手です。	わたしの聞く能力が下手です。	"2,4,2"	2.6666666666666665
あっという間に、雨が降ってきた声が聞こえた。	あっという間に、雨が降ってきた声が聞こえた。	"4,4,4"	4.0
テーマは愛、信用、決心、人種差、環境保護論を含みます。	テーマは愛、信用、決心、人種差、環境保護論を含みます。	"4,4,4"	4.0
江戸時代には侍だけが名字をあることができました。	江戸時代には侍だけが名字を使うことができました。	"4,3,2"	3.0
毎度、レッスンの始めに、先生は黒板に問題を書いておい、「どう思いますか？」と質問してくれて、１０分で学生達が小レポートを書いて答えて。	毎回レッスンの始めに、先生は黒板に問題を書いておい、「どう思いますか？」と質問してくれて、１０分で学生達が小レポートを書いて答える。	"1,2,4"	2.3333333333333335
悔しかったなぁ。。。	悔しいなぁ。。。	"3,4,4"	3.6666666666666665
日本語は僕に手伝ってくれたら、あなたに英語を教えてみます。	日本語を僕に手伝ってくれたら、あなたに英語を教えてみます。	"3,4,4"	3.6666666666666665
私のかめんは自分で作りました。	私は自分で作りました。	"1,2,1"	1.3333333333333333
よっぱらい人は大変と思う。	よっぱらい人は大変だと思う。	"4,4,4"	4.0
あるいは、ほかの原因ですか。	あるいは、ほかの原因でしょうか。	"4,4,3"	3.6666666666666665
これは、自分のためにではありません。	これは、自分のためにではありません。	"4,3,4"	3.6666666666666665
ミラノでいい天気です＾＾	ミラノはいい天気です＾＾	"3,3,4"	3.3333333333333335
このように湿度が高いの天気には気分もじめじめしていそうだ。	このように湿度が高い天気の天気には気分もじめじめしていそうだ。	"1,2,1"	1.3333333333333333
（日本で、相談役・顧問だったら、ちょっとあやしそうですか？）ところで、お父さんによると、VIC州に、大蔵のある社員はしばしば民間の金融企業に就職するそうだ。	（日本で、相談役・顧問だったら、ちょっとあやしそうですか？）ところで、お父さんによると、VIC州に、大蔵のある社員はしばしば民間の金融企業に就職するそうだ。	"4,4,4"	4.0
とうきょうHANDSといろいろの店にいきました。	とうきょうといろいろな店にいきました。	"1,1,1"	1.0
一方、困る機会も多い。	しかし、困る機会も多い。	"2,4,3"	3.0
日本でおかながすきました	日本ではおかながすきました	"3,2,2"	2.3333333333333335
でも、話したいことが何もありません。	でも、話したいことがありません。	"2,3,3"	2.6666666666666665
よる閉めてある窓からバラをかぐことができる	よる閉めてある窓からバラをあげることができる	"1,2,1"	1.3333333333333333
今週はに忙しいと思った	今週はに忙しいと思った	"2,3,1"	2.0
科目内容が難しいと思うから、こんな成績を取るわけがないかと思いました。	科目の内容が難しいと思うから、こんな成績を取るわけがないかと思いました。	"4,4,4"	4.0
毎度、レッスンの始めに、先生は黒板に問題を書いておい、「どう思いますか？」と質問してくれて、１０分で学生達が小レポートを書いて答えて。	毎度、レッスンの始めに、先生は黒板に問題を書いておい、「どう思いますか？」と質問してくれて、１０分で学生達が小レポートを書いて答えて。	"2,2,2"	2.0
心の中で皆が集まることひと時を楽しいです。	心の中で皆が集まることのひと時が楽しいです。	"2,4,4"	3.3333333333333335
たすけて	たすけて	"2,3,3"	2.6666666666666665
日本語の勉強を続こう！	日本語の勉強を続けよう！	"4,4,4"	4.0
話し能力を増して強くなりたいだけではなく、書き能力も上手になりたいと思う。	話す能力を増して強くなりたいだけではなく、書く能力も上手になりたいと思う。	"4,4,4"	4.0
時間はもう午後になりました。	時間はもう午後になっています。	"3,4,4"	3.6666666666666665
私は「食べ物や飲み物を持って着なさい」お客さんと言いました。	私は「食べ物や飲み物を持って着なさい」お客さんと言いました。	"4,3,2"	3.0
レバノンとフランスとアメリカにも、住んだことがありますから、色々な国について良よく知っているそうです。	レバノンとフランスとアメリカにも、住んだことがありますから、色々な国についてよくよく知っているそうです。	"4,4,3"	3.6666666666666665
世界の経験があるし、三つ以上の言葉を話せるし、ゴーンさんはとても国際的な人です。	世界の経験があるし、三つ以上の言葉を話せるし、ナカノさんはとても国際的な人です。	"1,1,1"	1.0
日本語能力試験	日本語能力試験	"2,3,3"	2.6666666666666665
寮に戻るところ、蛍を探そうとした。	寮に戻るところ、蛍を探そうとした。	"2,4,4"	3.3333333333333335
残りはその間延ばしておいた掃除をするとか読書をするつもりです。	残りはその間延ばしておいた掃除をするとか読書をするつもりです。	"4,4,4"	4.0
実は神の恵みを感謝するはずねえ！	実は神の恵みに感謝するはずねえ！	"4,4,4"	4.0
そして友達の友誼 はよくなりましたと思います。	そして友達の友誼はよくなりましたと思います。	"3,4,4"	3.6666666666666665
それから、私たちはドラマを見ながらわらに役者について話した。	それから、私たちはドラマを見ながらわらに役者について話した。	"4,4,4"	4.0
テーブルのしたにくつがあります。	テーブルのしたにくつがあります。	"4,4,4"	4.0
けれど、二年生のとき、二人は彼女がいった一緒にいる時間が少なくなった、だんだん疎遠になった。	けれど、二年生のとき、二人は彼女がいった一緒にいる時間が少なくなった、だんだん疎遠になった。	"4,4,3"	3.6666666666666665
そして、友達は事故を起こりました。	そして、友達が事故を起こしました。	"4,4,4"	4.0
そして旅行なから、たくさん文化を習いました。	そして旅行で、たくさん文化を習いました。	"4,4,4"	4.0
あの人たちは絶対に奥深い苦しいと悲しいを感じますよ。	あの人たちは絶対に奥深い苦しいと悲しいを感じますよ。	"2,3,3"	2.6666666666666665
この論文のトピックは日本における失業。	この論文のトピックは日本における失業。	"4,4,4"	4.0
Bukit Timah Roadにももう一つの名称があります。	BukitTimahRoadにももう一つの名称があります。	"1,2,1"	1.3333333333333333
じゃが芋は熱かった、だから口を火傷しました。	じゃが芋は暑かった、だから口を火傷しました。	"1,2,1"	1.3333333333333333
大体歩いたりバスに乗ったりして30分以内で学校に到着します。	大体歩いたりバスに乗ったりして30分以内で学校に到着します。	"4,4,4"	4.0
それに　年取っているから、記憶力が以前より悪いんです。	それに年取っているから、記憶力が以前より悪いんです。	"4,4,4"	4.0
おいしそうだった！	おいしそうだった！	"4,4,4"	4.0
勉強すればするほどどんどん難しくなってきます。	勉強すればするほどどんどん難しくなってきました。	"4,4,3"	3.6666666666666665
ざんねんですね。	ざんねんですね。	"4,4,4"	4.0
高校生活の思い出は僕と生き続けると思う。	高校生活の思い出は僕と生き続けると思う。	"4,4,4"	4.0
他の国の人が台湾のことが了解したいから、	他の国の人が台湾のことを理解したいから、	"3,3,3"	3.0
私にとって単語や文章は得意です。	私にとって単語や文章は得意です。	"4,4,4"	4.0
春休みの時に旅をするのはうちの定番です。	春休みの時に旅をするのはうちの定番です。	"4,4,4"	4.0
土曜日は僕の友達の結婚だので披露宴を楽しい見にしています。	土曜日は僕の友達の結婚式を楽しみにしています。	"1,2,3"	2.0
面白かったけど、そのクラブの入場料は三千円でした！	面白かったけど、そのクラブの入場料は三千円でした！	"4,4,4"	4.0
大声で読書したら、気分がさっぱりしたよ～★	大声で読書したら、気分がさっぱりしてたよ～★	"2,3,2"	2.3333333333333335
子供の時以来、いつも動物が大好きです。	子供の時以来、いつも動物が大好きです。	"4,4,4"	4.0
バスに乗らなければの話ですけどね。	バスに乗らなければの話ですけどね。	"4,4,4"	4.0
やる気を感じるときは、例えば、「達成イメージが持てているとき」、「上達していると感じているとき」、「出世したいとき」、「ライバルがいるとき」、「応援してくれる人がいるとき」、「高い教材費を払ってしまったとき」など、さまざまあります。	やる気を感じるときは、例えば、「達成イメージが持っているとき」、「上達していると感じているとき」、「出世したいとき」、「ライバルがいるとき」、「応援してくれる人がいるとき」、「高い教材費を払ってしまったとき」など、「、「達成してくれる人がいるとき」、「高い教材費を払ってしまったとき」など、「達成してくれる人がいるとき」、「高い教材費を払ってしまったとき」など、「達成イメージを払ってしまったとき」など、「達成してくれる人がいるとき」、「高い教材を払ってしまったとき」など、「高い教材を払ってしまったとき」など、「高い教材を払ってしまったとき」など、「達成イメージを払ってしまったとき」など、「達成イメージを払ってしまったとき」など	"1,2,4"	2.3333333333333335
土曜日と日曜日、NYで桜祭りがありました。	土曜日と日曜日は、NYで桜祭りがありました。	"3,4,3"	3.3333333333333335
そして、友達は事故を起こりました。	そして、友達は事故を起こしました。	"4,4,4"	4.0
このトピックは全然簡単じゃなくて、日本の政治と経済を議論しているから、たくさん調べたり準備したりしなければならないんだ。	このトピックは全然簡単じゃなくて、日本の政治と経済を議論しているから、たくさん調べたり準備したりしなければならないんだ。	"4,4,4"	4.0
とにかく、これはおれの意見しかない。	とにかく、これはおれの意見しかない。	"4,4,4"	4.0
そして大学生のくせに、英語は高校時代からなんか進歩がしていないそうです。	そして大学生のくせに、英語は高校時代からなんか進歩がしていないそうです。	"4,4,4"	4.0
先生自分は日本人で、日本人が外国で友達になれやすいけど、	先生は日本人で、日本人は外国で友達になれやすいけど、	"1,2,1"	1.3333333333333333
もちろん、オーストラリアでも高級があるが・・・その日本の天下りの地位はないようだ。	もちろん、オーストラリアでも高級があるが・・・その日本の天下りの地位はないようだ。	"4,4,4"	4.0
とても高かった！	とても高かったです！	"3,4,3"	3.3333333333333335
つまり、彼女は私たちに授業を教えるのが給料をもらえません。	つまり、彼女は私たちに授業を教えるのは給料をもらえません。	"4,4,4"	4.0
わたしはこのドラマからたくさんの日本語を勉強した。	わたしはこのドラマからたくさんの日本語を勉強した。	"4,4,4"	4.0
友達はティアラちゃんとマヤちゃんで、わたしのうちのそばに住んでいました。	友達の中に友達とマヤちゃんとマヤちゃんがわたしのうちのそばに住んでいました。	"1,1,1"	1.0
台湾では高校に入る前に、基本能力試験という全国のテストを受けます。	台湾では高校に入る前に、基本能力試験の全国のテストを受けます。	"2,4,2"	2.6666666666666665
早朝は超寒くても、９時に暖めはじまる。	早朝は超寒くても、９時に暖めはじめる。	"2,4,4"	3.3333333333333335
外国人登録証も国民保険加入も銀行の口座開設も携帯電話もこの２週間で終わらせなければならないので、食事さえろくに取れなかった。	外国人登録証も国民保険加入も銀行の口座開設も携帯電話もこの２週間で終わらせなければならなかったので、食事さえろくに取れなかった。	"4,4,3"	3.6666666666666665
昨日失敗しちゃった>___<	昨日失敗しちゃった>___<	"2,3,3"	2.6666666666666665
難しいね～	難しいね～	"2,3,3"	2.6666666666666665
でも、すべての人にはキラキラ輝く心があると思います♡(*^^*)	でも、すべての人にはキラキラ輝く心があると思います♡(*^^*)	"4,3,3"	3.3333333333333335
私はベジタリアンです、だから野菜カレーでした。	私はベジタリアンです。だから野菜カレーでした。	"4,4,4"	4.0
ぼくのなまえはニックです。	ぼくのなまえはニックです。	"4,4,4"	4.0
ブックフェアは毎年催し、にぎやかなイベントです。	ブックフェアは毎年、催し、にぎやかなイベントです。	"3,4,3"	3.3333333333333335
自信を失うな。	自信を失うな。	"4,4,4"	4.0
かみとめのいろはあおいです。	かみとめのいろはあおいです。	"4,4,4"	4.0
すっかり掃除をするとゴキブリなどもう部屋に紛れていなくなると思いますね。	すっかり掃除をするとゴキブリなどもう部屋に散っていなくなると思いますね。	"1,2,2"	1.6666666666666667
夏の空は暗くなるのが遅いが、暗くなれば一瞬だけで真っ暗になる。	夏の空は暗くなるのが遅いが、暗くなれば一瞬だけ真っ暗になる。	"1,2,2"	1.6666666666666667
例えば、今の大学の同時通訳授業を担当する肖先生は自分にとって、特別な存在であります。	例えば、今の大学の同時通訳授業を担当する肖先生は自分にとって、特別な存在であります。	"4,4,4"	4.0
今日は自転車である店へ行くとき、かわいそうな犬を見ました。	今日は自転車である店へ行くとき、かわいそうな犬を見ました。	"4,4,4"	4.0
初めて日記を書いたので、言葉は言葉の間の連接がわからない	初めて日記を書いたので、言葉は言葉の間の接続がわからない	"1,3,2"	2.0
科目内容が難しいと思うから、こんな成績を取るわけがないかと思いました。	科目内容が難しいと思うから、こんな成績を取るわけがないかと思いました。	"4,4,4"	4.0
悔しいことに、家に帰ったら、勉強のことも昔の友達との連絡も少なくて、日差しが強いか雨が降るかいろんな理由を使って、家に閉じこまるほうが好きだといい過ぎじゃないほどだ。	悔しいことに、家に帰ったら、勉強のことも昔の友達との連絡も少なくて、日差しが強いか雨が降るかいろんな理由を使って、家に閉じ込もるこまったほうが好きだといい過ぎじゃないほどだ。	"1,2,4"	2.3333333333333335
新しい名字はとっかえひっかえに付かれました。	新しい名字は全ての名字に付けられました。	"1,1,1"	1.0
土曜日は僕の友達の結婚だので披露宴を楽しい見にしています。	土曜日は僕の友達の結婚式なので披露宴を楽しみにしています。	"2,4,4"	3.3333333333333335
たいていブラジルの学校が小学校から英語とスペイン語を教える。	たいていブラジルの学校は小学校から英語とスペイン語を教える。	"4,4,4"	4.0
今にさけを飲むことできます。	今さけを飲むことができます。	"2,3,3"	2.6666666666666665
最近私の会社に、隣にすわっているの同僚は同じ風邪を引いているので、	最近私の会社で、隣にすわっている同僚が同じ風邪を引いているので、	"3,3,3"	3.0
社会には人々が便利で安くに酔いたがっていて、しかも、やっぱり不法で、エクスタシーが無害わけではないで、エクスタシーより酒の方が危ないとのことだ。	社会には人々が便利で安くに酔いたがっていて、しかも、やっぱり不法で、エクスタシーが無害なわけではないで、エクスタシーより酒の方が危ないとのことだ。	"4,2,4"	3.3333333333333335
大声で読書したら、気分がさっぱりしたよ～★	大声で読書したら、気分がさっぱりしたよ～★	"4,3,4"	3.6666666666666665
パーティの前にカップ・ケーキとベジタリアン・バーガーとレッドスキン・ウォッドカを作りました。	パーティの前にカップ・ケーキとベジタリアン・バーガーとレッドスキン・Targetを作りました。	"1,1,1"	1.0
いつかは必ず、虹がほほえむは	いつかは必ず、虹が瓦解は	"1,1,1"	1.0
でも、たくさん人はにほんごでしつもんをしましたが、わかりませんでした。	でも、たくさんの人はにほんごでしつもんをしましたが、わかりませんでした。	"4,4,4"	4.0
それに、たくさん本を読めて、もっとおとなしくなれるように！	それに、たくさん本を読めて、もっとおとなしくなるように！	"3,4,3"	3.3333333333333335
いくら忙しくても、大切な思い出すになります。	いくら忙しくても、大切な思い出になります。	"4,4,4"	4.0
世界の経験があるし、三つ以上の言葉を話せるし、ゴーンさんはとても国際的な人です。	世界の経験があるし、三つ以上の言葉を話せるし、ゴーンさんはとても国際的な人です。	"4,4,4"	4.0
兄から聞いたんですが、日本のパソコン普及率は台湾より低いそうです。	兄から聞いたんですが、日本のパソコンの普及率は台湾より低いそうです。	"4,4,4"	4.0
満点ではないのに、少なくとも合格してうれしいです～！	満点ではないのに、少なくとも合格できてうれしいです～！	"4,4,4"	4.0
私は国へ帰りたくないですから。	私は国へ帰りたくないですから。	"4,4,4"	4.0
今朝起きた、咽喉の感じが良くなかった、少し痛かった。	今朝起きたら、咽喉の感じが良くなかった、少し痛かった。	"4,4,4"	4.0
十八さいです。	十八歳です。	"3,3,3"	3.0
私には分からない。	私には分かりません。	"3,3,3"	3.0
僕は自分では温厚で、思いやりがる性格だと思います。	僕は自分では温厚で、思いやりがある性格だと思います。	"4,4,4"	4.0
4時か5時で放課になりますが、放課後は塾に行く生徒もたくさんいます。	4時か5時で放課になりますが、放課後は塾に行く生徒もたくさんいます。	"4,4,4"	4.0
ただ静かに友人たちを見ていればいい。	ただ静かに友人たちを見ているだけだ。	"3,2,2"	2.3333333333333335
おかあさんのなまえはジェニです。	おかあさんのなまえはジェニです。	"4,4,4"	4.0
僕の場合、母がむりやり入学試験を受けさせた。	僕の場合、母がでしょ。入学試験を受けさせた。	"1,2,1"	1.3333333333333333
かわいそうけど、やってあげられることは何もないから、ただ悲しんでいましたか。	かわいそうけど、やってあげられることは何もないから、ただ悲しんでいましたか。	"4,4,4"	4.0
日本の失業率とオーストラリアのは同じようであるけど、日本では自殺と家のない人の問題はもっと大変です。	日本の失業率とオーストラリアのは同じようであるけど、日本では自殺と家のない人の問題はもっと大変です。	"4,4,4"	4.0
ナーシングホームせすからナ０スがたくさんいます。	なんてホームせすからナ０スがたくさんいます。	"1,1,1"	1.0
私は日本語の歌が苦手だから、今度たくさん日本の歌を習おとおもってる。	私は日本語の歌が苦手だから、今度たくさん日本の歌を習おとおもってる。	"4,2,4"	3.3333333333333335
インターネットの発展とともに、個人が情報を発信し、拡散させることが可能になった。	インターネットの発展とともに、個人が情報を発信し、拡散させることが可能になった。	"4,4,4"	4.0
女の子も男の子も　普通は静かな声で話します。	女の子も男の子も普通は静かな声で話します。	"4,4,4"	4.0
すごく面白いですよ！！	すごく面白いですよ！！	"4,4,4"	4.0
宿題が少しあるが、大体家に怠けています。	宿題が少しあるが、大体家で怠けています。	"4,4,4"	4.0
その後日がまたさす。	その後日がまたさす。	"4,4,4"	4.0
私は遊びに行くつもりでが、急に雨が降っていました。	私は遊びに行くつもりでが、急に雨が降っていました。	"2,2,2"	2.0
よく電子メールで日本人の友だちに教えてもらってよかったです。	よく電子メールで日本人の友だちに教えてもらってよかったです。	"4,4,4"	4.0
でもこのニ三日の忙しさはああいう考えをさせる時間を埋めてしまった。	でもこのニ三日の忙しさはああいう考えをさせる時間を埋めてしまった。	"4,4,4"	4.0
このブログは台湾のことを紹介しているブログです。	このブログは台湾のことを紹介しているブログです。	"4,4,4"	4.0
家についたあとで、とても疲れました。	家に着いたあとで、とても疲れました。	"4,4,4"	4.0
もし、だれでも私の日記を読まれませんか。	もし、だれでも私の日記を読めませんか。	"4,4,3"	3.6666666666666665
天下りなどについて読んでいるのが面白いけど、かなり難しいね！	ダイアログなどについて読んでいるのは面白いけど、かなり難しいね！	"1,1,1"	1.0
でも、今、いつもlang-8で遊んでいるので、国語の点数はまだ下がるでしょう．．．	でも、今、いつもlang-8で遊んでいるので、国語の点数はまだ下がるでしょう．．．	"2,4,4"	3.3333333333333335
色々なコミュニケーションの理由のために携帯が使用できる。	色々なコミュニケーションの理由で携帯が使用できる。	"2,3,3"	2.6666666666666665
でも、私は何の曲があの時代に流行っているか、全然分からないので、誰かが私に教えてくれませんか。	でも、私は何の曲があの時代に流行っているか、全然分からないので、誰か私に教えてくれませんか。	"4,4,4"	4.0
私っていままで一度も外国語の勉強のために留学を考えたことがなくて、みんな留学を決めたのがすごくびっくりしました。	私っていままで一度も外国語の勉強のために留学を考えたことがなくて、みんな留学を決めたのがすごくびっくりしました。	"4,3,4"	3.6666666666666665
中小企業への援助の見直しすれば、問題を直すと言われました。	中小企業への援助を見直しすれば、問題を直すと言われました。	"2,4,4"	3.3333333333333335
（去年同じことも起きたから、もう二度とこんなことをさせたくないんです。）	（去年同じことも起きたから、もう二度とこんなことをさせたくないんです。）	"2,2,4"	2.6666666666666665
そのとき、ある人、わたしに話しくれた、このひとは友たちになった。	そのとき、ある人、わたしに話しくれた、このひとは友たちになった。	"2,2,4"	2.6666666666666665
人は小さい男の子あるくに見ましたよ。	人は小さい男の子に見ましたよ。	"1,2,1"	1.3333333333333333
でも、やっぱり日本人noよりこの絵は普通です。	でも、やっぱり日本人noよりこの絵は普通です。	"3,4,2"	3.0
他の日本人同級生来て、彼が背中で保健室にいた。	他の日本人同級生来て、彼が背中で保健室にいた。	"2,3,3"	2.6666666666666665
アングロサクソン人が少数民族になる。	親戚が少数民族になる。	"1,1,1"	1.0
タバコを吸いますか？	タバコを吸いますか？	"4,4,4"	4.0
「４年間勉強してるのに、こんな基本的な言葉づかいなんか」って思った。	「４年間勉強してるのに、こんな基本的な例文なのかな」って思った。	"1,1,1"	1.0
ちちはカメラを直ってしました。	ちちはカメラを直してくれました。	"4,4,4"	4.0
小さい願い	少しの願い	"3,3,3"	3.0
やっばり学生をするのは一番幸せだ！！	やっばり学生をするのが一番幸せだ！！	"3,4,4"	3.6666666666666665
でも、夏休みなると、日本語能力試験です。	でも、夏休みになると、日本語能力試験です。	"4,4,4"	4.0
長い夏休みに、どうするいいのと思っています。	長い夏休みに、どうすればいいのかと思っています。	"4,4,4"	4.0
日本語と英語を本格的にマスターようにいっしんいちいに勉強しましょう！	日本語と英語を本格的にマスターしようと思って勉強しましょう！	"1,2,3"	2.0
もうすぐ夏休みです。	もうすぐ夏休みです。	"4,4,4"	4.0
確かに、僕も面白い経験を持っているのは楽します。	確かに、僕も面白い経験を持っているのは楽。	"1,2,2"	1.6666666666666667
つまり、人はずっと狙うものを持つはずだと考えます。	つまり、人はずっと狙ったものを持つはずだと考えます。	"4,3,4"	3.6666666666666665
この記事はエクスタシーが酒に比べることだ。	この記事は久慈が酒に比べることだ。	"1,1,1"	1.0
「スモモも桃も桃のうち 桃もスモモも桃のうち」を言った。	「しまっても桃も桃のうち桃もしまったかも桃のうち」を言った。	"1,1,1"	1.0
日本語のコースを再度申し込もうと思っています。	日本語のコースを再度受験しようと思っています。	"1,3,3"	2.3333333333333335
今UCSD大学の三年生ですけど、日本語は二年しか勉強している。	今UCSD大学の三年生ですけど、日本語は二年しか勉強していません。	"4,4,4"	4.0
ネットで探してみると、いろいろな歌手がこの曲を歌いましたね。	ネットで探してみると、いろいろな歌手がこの曲を歌いました。	"3,3,4"	3.3333333333333335
そのパーティではだれもかめんをすることになっていた。	そのパーティではだれもしょうをすることになっていた。	"1,1,1"	1.0
いま、自分の勉強した方法を簡単に紹介してあげます。	いま、自分の勉強した方法を簡単に紹介しています。	"2,4,3"	3.0
自身を否定してると同時に、他人からの褒め言葉を聞いて、自信と力がもらえる。	自身を否定してると同時に、他人からの褒め言葉を聞いて、自信と力がつく。	"2,3,3"	2.6666666666666665
けがはかいしゃのランシタイマにおきました。	けがはかいしゃの信徒におきました。	"1,1,1"	1.0
こういうように、オーストラリアの方面も進行しているようだ。	このように、オーストラリアの方面も進行しているようだ。	"4,4,3"	3.6666666666666665
お金を節約するか新しいスタイルにチェンジするか、、、o(^▽^)o 二十歳のごろまでは新しいスタイルによくチャレンジしたもんけど、最近は全然。。。	お金を節約するか新しいスタイルにチェンジするか、、、o(^▽^)o二十歳のごろまでは新しいスタイルによくチャレンジしたもんけど、最近は全然。。。	"4,4,2"	3.3333333333333335
私にとってゆめみたい仕事です	私にとってみたい仕事です	"1,2,2"	1.6666666666666667
これは本当かどうか疑っています。	これは本当かどうか迷っています。	"1,3,1"	1.6666666666666667
生徒が１３００人で、かなり大きいな学校だ。	生徒は１３００人で、かなり大きな学校だ。	"4,4,4"	4.0
六月二日は日本のカレーの日ですか。	六月二日は日本のカレーの日ですか。	"4,4,4"	4.0
これから、使い時　もっと気をつけています。	これから、使う時もっと気をつけています。	"4,3,4"	3.6666666666666665
会社の同僚、友達と一緒に神奈川県三崎市へ行きました。	会社の同僚、友達と一緒に神奈川県三崎市へ行きました。	"4,4,4"	4.0
わたしはたくさんのひとにたすけてらいました。	わたしはたくさんのひとをたすけて働きました。	"1,2,3"	2.0
じゃまた。	じゃあまた。	"3,4,3"	3.3333333333333335
今日は友達の誕生日です。	今日は友達の誕生日でした。	"4,3,4"	3.6666666666666665
それらは寂しい人だと思いますね	それらは寂しい人達だと思いますね	"1,3,3"	2.3333333333333335
仕事を持って、会社ですから、寝ることができません。	仕事を持っている会社ですから、寝ることができません。	"2,2,4"	2.6666666666666665
知らず知らずのうちに、日本語はもう三年間勉強しましたが、まだわからないところがたくさんあります。	知らず知らずのうちに、日本語はもう三年間勉強しましたが、まだわからないところがたくさんあります。	"4,4,4"	4.0
せっかく全員揃いだから記念写真をたくさん撮ったり爆竹を鳴らしたりカードゲームをします。	せっかく全員揃っだから記念写真をたくさん撮ったり爆竹を鳴らしたりカードゲームをします。	"3,2,4"	3.0
それから、互いの体を元に戻すための旅が始まります。	それから、互いの体を元に戻すための旅が始まります。	"4,4,4"	4.0
全てのメロディーはプレーヤーの心からですの。	全てのメロディーはプレーヤーの心からです。	"3,4,4"	3.6666666666666665
でも、私は何の曲があの時代に流行っているか、全然分からないので、誰かが私に教えてくれませんか。	でも、私は何の曲があの時代流行っているか、全然分からないので、誰か私に教えてくれませんか。	"2,3,2"	2.3333333333333335
