原文	訂正	個別評価	評価
ここに仕事を見つけられない。	ここに仕事を見つけられない。	"4,4,3"	3.6666666666666665
3時から5じまで、我々はよく運動していたので、とても楽しかったです。	3時から5じまで、我々はよく運動していたので、とても楽しかったです。	"4,4,4"	4.0
今度は姉がラベンダーを触らないでください。	今度は姉がラベンダーに触らないでください。	"4,2,4"	3.3333333333333335
日本の一般人と日本語で喋れると思うけど、大学の授業の場合は聞き取れないに違いないです。	日本の一般人と日本語で喋れると思うけど、大学の授業の場合は聞き取れないに違いないです。	"4,4,4"	4.0
日本に未発売の海外のコスメー、サンフランシスコに行く予定ありますから、教えて下さい。	日本に未発売の海外のコスメー、サンフランシスコに行く予定がありますから、教えて下さい。	"3,4,3"	3.3333333333333335
あるアニメが全部わかるのはまだまだだめだけど、毎日新しい単語を覚えて、そして次の日この単語を偶然聞いて理解できるのはとても嬉しかった。	あるアニメが全部わかるのはまだまだだめだけど、毎日新しい単語を覚えて、そして次の日この単語を偶然聞いて理解できるのはとても嬉しかった。	"4,4,4"	4.0
日本語は難しい、そして僕に対しては長い道ようなものです。	日本語は難しい、そして僕にとっては長い道のようなものです。	"4,4,4"	4.0
毎日授業が終わった後、一人でＣＤを聞いて、歌詞を暗記しました。	毎日授業が終わった後、一人でＣＤを聞いて、歌詞を暗記しました。	"4,4,4"	4.0
人間は苦労といっしょに人世を歩んで行きます。	人間は苦労といっしょに人世を歩んでいます。	"2,4,3"	3.0
たぶん４回とか五回とか失敗　したら、やめたくなります。	たぶん４回とか五回とか失敗　したら、やめたくなります。	"2,4,2"	2.6666666666666665
多分他の歩ける子供のようになりたかったからです。	多分他の歩ける子供のようになりたかったからです。	"4,4,4"	4.0
私と姉と祖母と二人いとこは行きました。	私と姉と祖母と二人いとこは行きました。	"2,4,3"	3.0
帰る途中、私達は天津の有名なお菓子「耳の目」という揚げ餅を買いました。	帰る途中、私達は天津の有名なお菓子「耳の目」というホッカ・センターを買いました。	"1,1,1"	1.0
時間が不足、たくさん単語は書きません。	時間が不足、たくさん単語は書きません。	"4,4,3"	3.6666666666666665
仕事で、ステレスがいっぱいとか残業とか個人考えない。	仕事で、ステレスがいっぱいとか残業とか個人的には考えない。	"3,4,4"	3.6666666666666665
お客さんは皆入れるために大きいレストランとダンスホールを予約しておきました。	お客さんは皆入れるために大きいレストランとダンスホールを予約してくれました。	"2,4,3"	3.0
毎日、九時に公園を公開して、楽しみにしています。	毎日、九時に公園を公開して、楽しみにしています。	"4,4,4"	4.0
児童はランドセルを背負っている。	児童はランドセルを背負っている。	"4,4,4"	4.0
今ちょっと連れていますから台所に子火を作るに行きます。	今ちょっと連れていますから台所に子火を作るに行きます。	"2,2,3"	2.3333333333333335
買い物お　します。	買い物をします。	"4,4,4"	4.0
”お金がないんだから、閉めれない。	”お金がないから、悔しくない。	"1,3,1"	1.6666666666666667
今週、７５％テイプにならなかたら、quitをします。	今週、７５％テイプにならなかったら、quitをします。	"4,4,0"	4.0
たとえば「タバコを吸わないでください」か「タバコを吸わないようにしてください」は全然違うかな。	たとえば「タバコを吸わないでください」か「タバコを吸わないようにしてください」は全然違うのかな。	"3,4,3"	3.3333333333333335
私たちわ　五日間　過ごした　最初の三日間　雨が　非常に　降って　大変でした。	私たちは五日間過ごした最初の三日間雨が非常に降って大変でした。	"4,4,3"	3.6666666666666665
変だ。	変だと思う。	"4,4,4"	4.0
本当にうれしいです。	本当にうれしいです。	"4,4,4"	4.0
子供の時、母は私に本を読みました。	子供の時、母は私に本を読んでくれました。	"4,4,4"	4.0
スタローンの映画のが面白いですから。	この映画の映画は面白いですから。	"1,1,1"	1.0
それだけでなく私の姉妹もカレッジの彼女の卒業証書を得ます。	それだけでなく私の姉妹もカレッジの彼女の卒業証書を得ます。	"4,4,3"	3.6666666666666665
話すをすると、皆に笑いを誘いました。	話をすると、皆を笑いました。	"1,2,3"	2.0
日本の冬のほうが暖かいです。	日本の冬のほうが暖かいです。	"4,4,4"	4.0
しかし、寝るならば、寝れない。	しかし、寝るならば、寝れない。	"4,4,2"	3.3333333333333335
花の展覧会2010	花の展覧会2010	"3,4,4"	3.6666666666666665
「失敗なんか全然恥ずかしくない、貴女良く頑張るはね。」と中学三年の国語担当の先生から言われました。	「失敗なんか全然恥ずかしくない、貴女良く頑張るはね。」と中学三年の国語担当の先生から言われました。	"3,2,4"	3.0
野球とサッカーとどっち人気がある？	野球とサッカーとどっち人気がある？	"4,4,4"	4.0
チィンリッスルはアイルランドの呼子だ。	チィンリッスルはアイルランドの呼び名だ。	"4,1,4"	3.0
☆プヂ版☆　この歌を歌っているのはだれだか知っていますか？	☆很喜版☆この歌を歌っているのはだれだか知っていますか？	"1,1,1"	1.0
クウィンズラーンド州にはゴールドコーストは一年中によく暖かい天気なので、ここに外国人がたくさん来て観光します。	クウィンズラーンド州にゴールドコーストは一年中によく暖かい天気なので、ここに外国人がたくさん来て観光します。	"2,4,3"	3.0
こんばんわ～～～	こんばんは～～～	"3,3,4"	3.3333333333333335
中国語です。	中国語です。	"4,4,4"	4.0
無事で帰ってよかったです。	無事に帰ってよかったです。	"4,4,4"	4.0
”本当に、わかりません。	「本当に、わかりません。	"3,3,3"	3.0
初期の映画から今のドラマ、アニメ、テレビゲーム及び一部の電子製品に至るまで、日本文化の影響が至る所に見られています。	初期の映画から今のドラマ、アニメ、テレビゲーム及び一部の電子製品に至るまで、日本文化の影響が至る所で見られています。	"4,4,4"	4.0
明日大学の後に「シェルロク・ホールムス」をみます。	明日大学の後で「シェルロク・ホールムス」をみます。	"4,4,4"	4.0
ここに気をつけなければならないところは日本の法律はアメリカと同じです、今度の事件は日本国内法の手順で完全に裁判されました。	ここに気をつけなければならないところは日本の法律はアメリカと同じです、今度の事件は日本国内法の手順で完全に裁判されました。	"4,4,3"	3.6666666666666665
この賞の支えでアン・ツー、ホー・ゴク・ハー、スアン・ランと同様、学生の花モデルと言うユースファクションモデルクラブに参加した。	この賞の支えでアン・ツー、ホー・ゴク・ハー、イリナ・ランと同様、学生の花モデルと言うユース计在モデルクラブに参加した。	"1,1,1"	1.0
しばらく前にAMAZONから「AHandbookofJapaneseFunctionWords」と言う本を買った。	しばらく前にAMAZONから「AHandbookofJapaneseFunctionWords」と言う本を買った。	"4,4,4"	4.0
まだ小学生の時、毎日自分で手習いをして、一つ変な格好の字を見ったら、ぜひ一度も書いてしまいました。	まだ小学生の時、毎日自分で手習いをして、一つ変な格好の字を見たら、ぜひ一度書いてしまいました。	"2,3,4"	3.0
阿部さんは今週休みます。	阿部さんは今週休みます。	"4,4,4"	4.0
先生、知っていますか？	先生、知っていましたか？	"4,4,4"	4.0
西方の人にとって、愛情はすべて！」......先生がそう言ったけど、実際の状況は本当にそうなのか。	西方の人にとって、愛情はすべて！」......先生がそう言ったけど、実際の状況は本当にそうなのか。	"4,3,3"	3.3333333333333335
今は昔、男は本屋に開けた。	今は昔、男は本屋に開けた。	"1,3,4"	2.6666666666666665
漫画とアニメはヤンキーを人気になれて、たくさん日本人はヤンキーになりたいと思う。	漫画とアニメはヤンキーが人気になれて、たくさんの日本人はヤンキーになりたいと思う。	"4,4,4"	4.0
つぎの日、赤ちゃんはしっかり立てるようになりました。	つぎの日、赤ちゃんはしっかり立ってしまいました。	"2,2,2"	2.0
ほんとうにばかだ？	ほんとうにばかだった？	"1,4,3"	2.6666666666666665
有ります？	有りますか？	"4,4,4"	4.0
皆はほとんど持っている、日本の自転車と同じぐらい。	皆はほとんど持っている、日本の自転車と同じぐらい。	"4,4,4"	4.0
失敗なんか全然恥ずかしくない、貴女良く頑張るはね。」まだ、子供みたいの私にとって、先生の励ましい言葉は何よりです。	失敗なんか全然恥ずかしくない、貴女良く頑張るはね。」まだ、子供みたいな私にとって、先生の励ましい言葉は何よりです。	"3,3,3"	3.0
面白いアトラクションがたくさんあるから、すべての家族は楽しくできます。	面白いアトラクションがたくさんあるから、すべての家族は楽しく遊べます。	"4,4,4"	4.0
それは私泣いている。	それは私泣いている。	"4,2,3"	3.0
ＬＡに　いって　Ｋｏｒｅａ　Ｔｏｗｎで　沢山の　韓国　料理お　食べました。	ＬＡにいってＫｏｒｅａＴｏｗｎで沢山の韓国料理を食べました。	"4,4,4"	4.0
映画の内容について、素晴らしかったと思う。	映画の内容について、素晴らしかったと思う。	"4,4,3"	3.6666666666666665
でも、私はもともと頑張ります。	でも、私はもともと頑張ります。	"4,4,4"	4.0
USJとか東京の遊園地とかについてしゃべっていた。	USJとか東京の遊園地とかについてしゃべった。	"4,4,4"	4.0
日本に未発売の海外のコスメー	日本では未発売の海外のコスメ	"4,3,4"	3.6666666666666665
日本語はもっとべんきょうしたいからよろしくね！	日本語をもっとべんきょうしたいからよろしくね！	"4,4,4"	4.0
ひろです。	ひるです。	"4,4,4"	4.0
僕の出身ではほとんどの和食のレストランのマネジャーは韓国人か中国人だと思う。	僕の出身ではほとんどの和食のレストランのマネジャーは韓国人か中国人だと思う。	"4,4,4"	4.0
今は昔、男は本屋に開けた。	今は昔、男は本屋に開いた。	"1,3,4"	2.6666666666666665
そして遊ぶ所か？	そして遊ぶ所なのか？	"4,4,4"	4.0
もっと話したいな、嬉しい事か、悲しいことか。	もっと話したい、嬉しい事か、悲しいことか。	"4,4,4"	4.0
材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです。	材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです。	"4,4,4"	4.0
わたし許晨睿です。	わたしは許です。	"1,1,1"	1.0
今度は姉がラベンダーを触らないでください。	今度は姉がラベンダーを触らないでください。	"4,3,3"	3.3333333333333335
LeMondeDiplomatiqueも読みます。	LeMondeDiplomatiqueも読んでいます。	"4,4,4"	4.0
ひろです。	ひろです。	"4,4,4"	4.0
一緒に歌を歌いました、ご飯を食べて、買い物をしました。	一緒に歌を歌いました、ご飯を食べて、買い物をしました。	"4,4,4"	4.0
でも、嬉しいね。。。	でも、嬉しいです。。。	"4,4,4"	4.0
メンドクサイ～～	よし～～	"1,3,1"	1.6666666666666667
これはほんとに迷惑なことですよな。	これはほんとに迷惑なことですよね。	"4,4,4"	4.0
つまらない　O_o　どうするか知らない。	つまらないO_oどうすればいいか知らない。	"4,3,4"	3.6666666666666665
残念と思います。	残念だと思います。	"4,4,4"	4.0
私が驚いた！	驚いた！	"4,4,3"	3.6666666666666665
http://www.youtube.com/watch?v=ysL1DL8au0s	http://www.youtube.com/watch?v=ysL1DL8au0s	"0,0,0"	0
今年の食べた粽の一つはこれです。	今年の食べた粽の一つはこれです。	"4,4,4"	4.0
私にとって、ペットはいつも傍にいて、家族のようです。	私にとって、ペットはいつも傍にいて、家族のようなものです。	"4,4,4"	4.0
もう一問はドラゴン・ファンタジーの攻略らしい...	もう一問はドラゴン・ファンタジーの攻略らしい...	"4,3,4"	3.6666666666666665
不明なものを食べて、病気になってしまいました。	不明なものを食べて、病気になってしまいました。	"4,4,4"	4.0
まあ、一応日本語の文章を読めるだけではうれしいことなんですけどね。	まあ、一応日本語の文章を読めるだけではうれしいことなんですけどね。	"3,4,3"	3.3333333333333335
西方の人にとって、愛情はすべて！」......先生がそう言ったけど、実際の状況は本当にそうなのか。	西方の人にとって、愛情はすべて！」.....先生がそう言ったけど、実際の状況は本当にそうなのか。	"4,3,3"	3.3333333333333335
ウェールズ	ウェールズ	"3,4,4"	3.6666666666666665
ＬＡに　飛行機で　行きました。	ＬＡに飛行機で行きました。	"4,4,4"	4.0
それに引き換えて、日本のメデイアが一切報道されていません。	それに引き換えて、日本のメデイアが一切報道されていません。	"3,4,4"	3.6666666666666665
映画が大好きですから、ほとんど毎日にえいがかんでいきます。	映画が大好きですから、ほとんど毎日えいがかんでいます。	"2,3,2"	2.3333333333333335
日本に未発売の海外のコスメー、サンフランシスコに行く予定ありますから、教えて下さい。	日本に未発売の海外のコスメー、サンフランシスコに行く予定ありますから、教えて下さい。	"3,4,3"	3.3333333333333335
中国料理と日本料理とどっちのほうが好きですか？	中国料理と日本料理とどっちのほうが好きですか？	"4,4,4"	4.0
日本人の友達と話したい、でもなかなかちょっと年上の人だけと話せる。	日本人の友達と話したい、でもなかなかちょっと年上の人とだけ話せる。	"2,3,2"	2.3333333333333335
ショッピングモールを行きませんでした　ToT)/	ショッピングモールを行きませんでした　ToT)/	"2,4,3"	3.0
ごめん！	ごめん！	"4,4,4"	4.0
とにかく、これは一期一会ですから、頑張ります！	とにかく、これは一期一会ですから、頑張ります！	"4,4,4"	4.0
私は絵を描くのが好きだけど、最近は何も描かなくっている。	私は絵を描くのが好きだけど、最近は何も描かなくっている。	"4,2,4"	3.3333333333333335
けどね、二週間に期末試験はある。。。	けどね、二週間に期末試験はある。。。	"3,4,3"	3.3333333333333335
私わ　先週　妻と　ＬＡに　行きました。	私は先週、妻とＬＡに行きました。	"4,4,4"	4.0
lang-8の皆さんもよろしくお願いします。	lang-8の皆さん、よろしくお願いします。	"4,4,4"	4.0
私わ　先週...	私は　先週...	"2,3,3"	2.6666666666666665
また、私らの日本側の激安仕入れのルートを教えます！	また、私らの日本側の激安仕入れのルートを教えます！	"4,4,3"	3.6666666666666665
それからの一年間、なんだか気まずい雰囲気になってしまいました。	それからの一年間、なんだか気まずい雰囲気になってしまいました。	"4,4,4"	4.0
ソウルで生まれてグァンミョンで幼い頃を過ぎました。	ソウルで生まれてグァン进で幼い頃を過ごしました。	"1,1,1"	1.0
とわず）、私に言ってください。	わからない）、私に言ってください。	"1,3,1"	1.6666666666666667
３ヶ月ぐらい前に赤ちゃんは始めて歩くことを学びました。	３ヶ月ぐらい前に赤ちゃんは初めて歩くことを学びました。	"4,4,4"	4.0
私は一番暑さを恐れるので卒業後で南方へ行くつもりです	私は一番暑さを恐れているので卒業後で南方へ行くつもりです	"3,3,4"	3.3333333333333335
日記を書いておきました。	日記を書いていました。	"1,4,4"	3.0
ワンピースが好きですか？	あなたはワンピースが好きですか？	"4,4,4"	4.0
この交通は人々が家に帰るについての事です。	この交通は人々が家に帰ることについてです。	"4,4,2"	3.3333333333333335
私が反省しました。	私は反省しました。	"4,4,4"	4.0
それにしても、国内のデモがほとんど政府に抑えされました。	それにしても、国内のデモがほとんど政府に抑えされました。	"3,2,3"	2.6666666666666665
でも当日、ひとつ驚くこともあったよ。	でも当日、驚くこともあったよ。	"4,4,3"	3.6666666666666665
刘伯温は咲き遅れている紺の菊花を贈呈したが、施耐庵は熟考したうえで、牡丹の枝を手折れて贈呈した。	刘伯温は咲き遅れている紺の菊花を贈りたが、施耐庵は熟考したうえで、牡丹の枝を手折れて贈りた。	"2,2,1"	1.6666666666666667
船と飛行機のほうが危ないですから。	船と飛行機のほうが危ないですから。	"4,4,4"	4.0
ストーリーはまだわからないですけど、ドラマをリスタットされました。	ストーリーはまだわからないですけど、ドラマが流れました。	"1,1,1"	1.0
にもかかわらず、日本語の原作を見るうちに、わからない言葉があったんですけど、中訳より理解できる気がしました。	にもかかわらず、日本語の原作を見るうちに、わからない言葉があったんですけど、中訳より理解できる気がしました。	"4,4,4"	4.0
たくやきはおいしいです。	たくやきはおいしいです。	"4,4,3"	3.6666666666666665
エレクトリックギターも大好きけど、今練習しない。	エレクトリックギターも大好きだけど、今は練習していない。	"4,4,4"	4.0
中国古代神話故事（翻訳挑戦）第8弾　八百匹虎東京を騒がす(4)	中国古代神話故事（翻訳挑戦）第8弾八百匹虎東京を外苑(4)	"1,0,1"	1.0
友達も怪我をしました。	友達も怪我をしました。	"4,4,4"	4.0
クウィンズラーンド州にはゴールドコーストは一年中によく暖かい天気なので、ここに外国人がたくさん来て観光します。	報国州にはゴールドコーストは一年中、よく暖かい天気なので、ここに外国人がたくさん来て観光します。	"1,1,1"	1.0
昔の彼女と別れて一年が経ちました。	昔の彼女と別れて一年が経ちました。	"4,4,4"	4.0
友達のお勧めで「隣のととろ」という映画を観た。	友達のお勧めで「隣のとでぶ」という映画を観た。	"1,1,1"	1.0
私：「じゃ、どうしてラベンダーが倒れた？」	私：「じゃ、どうしてラベンダーが倒れた？」	"4,4,4"	4.0
（名前の発音はかたかなでよく書けます。）弟は写真をたくさん撮りたいと言いましたが、洞の半分ぐらいの写真を撮った後で、カメラが壊れてしまいました。	（名前の発音はかたかなでよく書けます。）弟は写真をたくさん撮りたいと言いましたが、洞窟の半分ぐらいの写真を撮った後で、カメラが壊れてしまいました。	"4,4,3"	3.6666666666666665
話すをすると、皆に笑いを誘いました。	話をすると、皆に笑いを誘いました。	"4,4,3"	3.6666666666666665
土曜日に日本語の試験があります。	土曜日に日本語の試験がありました。	"4,3,4"	3.6666666666666665
伝統文化をちゃんと味わって、そして新鮮なものをくわえて、新たなすばらしい若者文化を作りましょう。	伝統文化をちゃんと味わって、そして新鮮なものにくわえて、新たなすばらしい若者文化を作りましょう。	"1,4,4"	3.0
http://www.youtube.com/watch?v=mX_Q9tmFO3M	http:eeww.youtube.com-watch?v=mX_Q9tmFO3M	"0,0,0"	0
私はすごく気に入ったんです。	私はすごく気に入ったんです。	"4,4,4"	4.0
私を入れて、私のルームに六人がいます。	私を入れて、私のルームに六人がいます。	"4,4,4"	4.0
でも、嬉しいね。。。	でも、嬉しかった。。。	"4,4,3"	3.6666666666666665
両方、鬱病になれて、時々自殺することにする。	両方、鬱病になれて、時々自殺することにする。	"4,3,3"	3.3333333333333335
これは2010年春季版です！	これは2010年の春天版です！	"4,1,1"	2.0
高校から卒業しないかもだからね。	高校を卒業しないかもしれないからね。	"4,4,4"	4.0
妹は会社から無料のチケットをもらったから、映画を見に行く時間は換えられなかったです。	妹は会社から無料のチケットをもらったから、映画を見に行く時間は換えられなかったです。	"4,4,3"	3.6666666666666665
主賓とご両親はスピーチをして、司会者はお客さんを楽しませて、コンクールを行いました。	秒針とご両親はスピーチをして、司会者はお客さんを楽しませて、コンクールを行いました。	"1,1,1"	1.0
眠れない夜は、いつもあなたのことを思い出します。	眠れない夜は、いつもあなたのことを思い出しています。	"4,4,4"	4.0
今学校にコンピュータラブでいます。	今学校でコンピュータラボをしています。	"1,1,3"	1.6666666666666667
残念ながら、数年ほど前に最後の一匹は老齢のため亡くなれました。	残念ながら、数年ほど前に最後の一匹は老齢のために亡くなりました。	"4,4,4"	4.0
金色の鳳凰はそれを知って慌しく迎えに出た。	金色の鳳凰はそれを知って慌しく迎えられた。	"3,4,4"	3.6666666666666665
でも皆は必ずしも伝統に従って結婚するとは限りません。	でも皆は必ずしも伝統に従って結婚するとは限りません。	"4,4,4"	4.0
実はね、私も一年ぐらい日本語の勉強になりました、でも、あんまりできません。	実はね、私も一年ぐらい日本語の勉強になりました。でも、あんまりできません。	"4,4,3"	3.6666666666666665
お医者さんに会ったけど彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いですね。」と言いました。	お医者さんに会ったけど彼は「あなたは元気ですから、ティーンエイジャーだからいつも眠いですね。」と言いました。	"1,2,2"	1.6666666666666667
今年は必ず能力試験に合格するつもりだと言っています。	今年は必ず能力試験に合格するつもりだと言っていました。	"4,4,4"	4.0
最近の私は毎日「白寿」という椅子に座り電位治療をしています。	最近、私は毎日「白寿」という椅子に座り電位治療をしています。	"4,4,4"	4.0
やっと帰ってきた！	やっと帰ってきました！	"4,4,4"	4.0
日本語より、英語と中国語の言葉を排列する順番は似ているので（英語が苦手なんですけど）、中高生のころだったんですが、英語を中国語に訳すことがあまり厄介ではなかった気がしました。	日本語より、英語と中国語の言葉を排列する順番は似ているので（英語が苦手なんですけど）、中高生のころだったんですが、英語を中国語に訳すことはあまり厄介ではなかった気がしました。	"4,4,3"	3.6666666666666665
施耐庵は先生とお暇し、西へと向かった。	施耐統は先生とお暇し、西へと向かった。	"1,1,1"	1.0
難しい！	難しいです！	"4,4,4"	4.0
私はずっとそれを信じて日本に留学したいです、ほかの国で、外の視点から、自分の国のことをもう一度見つめていたいです。	私はずっとそれを信じて日本に留学したいです、ほかの国で、外の視点から、自分の国のことをもう一度見つめていきたいです。	"4,4,4"	4.0
それで祝えなくて、プレゼントを司会者をつうじで渡した人もいました。	それで祝えなくて、プレゼントを司会者をつうじで渡した人もいました。	"3,2,3"	2.6666666666666665
仕事の後、友たちの家で、しゃぶしゃぶを食べました。	仕事の後、友たちの家で、しゃぶしゃぶを食べました。	"4,4,4"	4.0
ちょっと、寂しいわ。	ちょっと、寂しいな。	"4,4,4"	4.0
時々あんまり接触しないけれど、時々ずっと接触する。	時々あんまり接触しないけれど、時々ずっと接触する。	"4,4,2"	3.3333333333333335
ほぼ日手帳と私のスターバックスカードが似合！	ほぼ、日手帳と私のスターバックスカードが心地良い！	"1,2,2"	1.6666666666666667
今日。。。。	今日。。。。	"4,4,3"	3.6666666666666665
霍さんはインターンシップに行きましたので、５人が残っています。	霍さんはインターンシップに行きましたので、５人が残っています。	"4,4,4"	4.0
そして、日本のメデイアは船長の裏には中国政府の仕業かもしれないとも書いています。	そして、日本のメデイアは船長の裏には中国政府の仕業かもしれないと書いています。	"2,4,3"	3.0
本地の書店でいろいろな辞書を見たのにいい辞典はないそうです。	本地の書店でいろいろな辞書を見たのにはいい辞典はないそうです。	"1,2,2"	1.6666666666666667
昨夜、私の好きな人（アレックス）のために夕食を作くりました。	昨夜、私の好きな人（アレックス）のために夕食を作くりました。	"4,2,3"	3.0
八月一日から喫茶店でアルバイトがありますから、うれしいです。	八月一日から喫茶店でアルバイトがあるので、うれしいです。	"4,4,4"	4.0
毎日頑張りましょうね。	毎日頑張りましょうね。	"4,4,4"	4.0
私は一番暑さを恐れるので卒業後で南方へ行くつもりです	私は一番暑さを恐れるので卒業後で南方へ行くつもりです	"3,3,3"	3.0
しかし「本当に結婚すれば幸せになりますか」と疑いました。	しかし「本当に結婚すれば幸せになりますか」と疑いました。	"4,4,4"	4.0
（全部の日記はちょっとながいだとおもいます。）	（全部の日記はちょっとながいだとおもいます。）	"4,3,3"	3.3333333333333335
私の大好きなスポーツだからです。	私の大好きなスポーツだからです。	"4,4,4"	4.0
そして、ニンジンとキュウリとほうれん草と（日本の）マヨネーズもあります。	そして、ニンジンとキュウリとほうれん草と（日本の）マヨネーズもあります。	"4,4,4"	4.0
ハートが印刷されているテープで封印されて驚きました。	ハートが印刷されているテープで封印されて驚きました。	"4,4,3"	3.6666666666666665
でもかんじはむずかしい。	でもかんじはむずかしい。	"4,4,4"	4.0
开春啦~	开春啦~	"0,0,0"	0
:)	:)	"0,0,0"	0
それから、日本語は毎日に勉強します。	それから、日本語は毎日勉強しています。	"4,4,3"	3.6666666666666665
突然とても寂しい感じ始めました。	突然とても寂しさを感じ始めました。	"4,4,4"	4.0
偶にペットと遊びて、餌をやりました。	偶にペットと遊んで、餌をやりました。	"4,4,4"	4.0
「同窓の誼は深いもので忘れるべからず、手足のように情け深く（睦まじく）協力し合え、ゆめゆめ忘れることなかれ」と。	「同窓の誼は深いもので忘れるべからず、手足のように情け深く（FivemythsaboutNorthKorea）協力し合え、偽り忘れることなかれ」と。	"1,1,1"	1.0
笑	（笑	"0,0,3"	0
ｍ（＿＿）ｍ	アート	"0,0,0"	0
ロシアで結婚式にお客さんをたくさｎ招待することになっています。	ロシアで結婚式にお客さんをたくさん招待することになっています。	"4,4,4"	4.0
でも、アメリカの女は”badboys"が時々好きです。	でも、アメリカの女は”badboys"が時々好きです。	"4,4,4"	4.0
散歩の後で宴会を行われていました。	散歩の後で宴会が行われました。	"1,4,4"	3.0
昨日、チェコの「スロウプスコ・ショシューフスケー」洞に遠足しました。	昨日、チェコの「コッドンネ」洞に遠足しました。	"1,1,1"	1.0
日本のWaltDisneyと呼ばれているらしい。	日本のWaltDisneyと呼ばれているらしい。	"4,4,4"	4.0
だれか友達からSpiritedAwayという映画をもらってるんで、次はそれにしようかな？	だれか友達からSpiritedAwayという映画をもらってるから、次はそれにしようかな？	"4,4,3"	3.6666666666666665
東野さんの誕生日はいつですが。	東野さんの誕生日はいつですか。	"4,4,4"	4.0
⑦日本関係の通関手続きを妨害	⑦日本関係の通関手続きを妨害	"3,3,4"	3.3333333333333335
☆プヂ版☆　この歌を歌っているのはだれだか知っていますか？	☆プヂ版☆この歌を歌っているのはだれか知っていますか？	"4,4,4"	4.0
実は、私は「両国の若者ともある程度で自分の国の伝統文化をゆるがせにしています。」と思っています。	実は、私は「両国の若者ともある程度で自分の国の伝統文化を真似しています。」と思っています。	"1,1,1"	1.0
そして、チッソ株式会社は無気力し、不注意し、とんでもなかった。	そして、チッソ株式会社は無気力し、不注意し、とんでもなかった。	"1,4,2"	2.3333333333333335
＾＿＾	＾＿＾	"0,0,0"	0
１/２の同僚も休みました。	１～２の同僚も休みました。	"1,1,2"	1.3333333333333333
好きな本はＧｏｏｄｎｉｇｈｔ　Ｍｏｏｎでした。	好きな本はＧｏｏｄｎｉｇｈｔＭｏｏｎです。	"1,4,3"	2.6666666666666665
私にとって結婚式を挙げるより新婚旅行する方がいいのではないでしょうか。	私にとって結婚式を挙げるより、新婚旅行をする方がいいのではないでしょうか。	"4,4,3"	3.6666666666666665
台湾ではバイクが欠かせない交通工具です。	台湾ではバイクが欠かせない交通工具です。	"2,4,3"	3.0
パープルとイエロマニキュアを買いたい…最近、そのカラーコンボが大好きです。	パープルとスプレーを買いたい…最近、その色の色が大好きです。	"1,1,1"	1.0
しています。	私はしています。	"1,4,4"	3.0
毎日、学生は本屋に行って、話しを読んだ。	毎日、学生は本屋に行って、話しを読んだ。	"3,2,3"	2.6666666666666665
しかし、去年から日本はワーキングホリデーという政策に乗り出	しかし、去年から日本はワーキングホリデーという政策に入れる	"1,4,3"	2.6666666666666665
カバンからの思い	カバンからの思い	"3,3,3"	3.0
でも、障害も難しいこともありますから、度々夢とか希望を果たすことができません。	でも、障害も難しいこともありますから、度々夢や希望を果たすことができません。	"4,4,3"	3.6666666666666665
僕の一番目ポスト	僕の一番目のポスト	"3,3,3"	3.0
私：「決定！	私：「決断した！	"1,3,3"	2.3333333333333335
やった！！！！	やった！！！！	"4,4,4"	4.0
中国語　勉強お　しませんでした。	中国語　勉強お　しませんでした。	"2,2,2"	2.0
まさに天使そのものなのです。	まさに天使のそのものなのです。	"2,3,2"	2.3333333333333335
「故意」かどうか、私たちのようなニュースをみただけの民間人は断言できないと思います。	「故意」かどうか、私たちのようなニュースをみただけの民間人は断言できないと思います。	"4,4,3"	3.6666666666666665
もっとも著しい例は、日本語の順番が動詞を一番最後のところに置くことです。	もっとも著しい例は、日本語の番が動詞を一番最後のところに置くことです。	"2,2,1"	1.6666666666666667
魔法みたいな～、発見！	魔法みたいだな～、発見！	"4,4,2"	3.3333333333333335
代価は高いですよ！	代価は高いですよ！	"4,4,4"	4.0
第三十三番目のレッスン	三十三番目のレッスン	"4,3,1"	2.6666666666666665
うん......確かにそうでした。	うん......確かにそう思いました。	"1,3,3"	2.3333333333333335
いよいよコンクール当日の日が迎えてきました。	いよいよコンクール当日を迎えました。	"4,4,4"	4.0
そのとき興味ができて勉強してきたそうです。	そのとき興味ができて勉強してきたそうです。	"4,4,4"	4.0
そして、前にの海外旅行は...演奏と親族訪問などだけです...単純的に旅行して一回もありません。	そして、前の海外旅行は...演奏と親族訪問などだけです...単純的に旅行して一回もありません。	"1,4,3"	2.6666666666666665
②海上保安庁は日本の領海でそうした違法行為をする船長を逮捕	②海上保安庁は日本の領海でそうした違法行為を行う船長を逮捕	"3,3,4"	3.3333333333333335
今日は私の誕生日ではなかったけれども、北京から帰た友達と一緒に私の誕生日ためにパーティーをしていました。	今日は私の誕生日ではなかったけれども、北京から帰った友達と一緒に私の誕生日ためにパーティーをしていました。	"4,3,4"	3.6666666666666665
東京部の最低賃金は１時間で７９１円だが、アメリカは１時間で７．２５ドールだ。	東京部の最低賃金は１時間で７９１円だが、アメリカは１時間で７．２５ドールだ。	"3,4,3"	3.3333333333333335
